"Cipher Info","","","","Implementation Info","","","Code Size","","","","","RAM","","","","","","","","","","Execution Time","","",""
"","","","","","","","","","","","Stack","","","","Data","","","",""
"Cipher","Block Size (bits)","Key Size (bits)","Version","Language","Options","EKS (bytes)","E (bytes)","DKS (bytes)","D(bytes)","EKS + E + DKS + D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","EKS (bytes)","E (bytes)","DKS (bytes)","D (bytes)","Common (bytes)","Total (bytes)","EKS (cycles)","E (cycles)","DKS (cycles)","D (cycles)"
"CLEFIA","128","128","02","C",="-O3","3380","3724","0","3940","4620","-","-","-","-","-","-","-","-","-","-","15375","117960","0","118162"
"CLEFIA","128","128","02","C",="-O2","2936","2952","0","2992","3344","-","-","-","-","-","-","-","-","-","-","18196","147718","0","147554"
"CLEFIA","128","128","02","C",="-O1","1804","1796","0","1848","2208","-","-","-","-","-","-","-","-","-","-","20671","161828","0","163067"
"CLEFIA","128","128","02","C",="-Os","1732","1736","0","1786","2106","-","-","-","-","-","-","-","-","-","-","20424","168622","0","169005"
"CLEFIA","128","128","04","C",="-O3","2892","3132","0","3348","4076","-","-","-","-","-","-","-","-","-","-","11363","94104","0","94627"
"CLEFIA","128","128","04","C",="-O2","2880","2792","0","2832","3232","-","-","-","-","-","-","-","-","-","-","11373","96162","0","96254"
"CLEFIA","128","128","04","C",="-O1","1788","1700","0","1752","2136","-","-","-","-","-","-","-","-","-","-","12985","117733","0","118534"
"CLEFIA","128","128","04","C",="-Os","1716","1634","0","1684","2030","-","-","-","-","-","-","-","-","-","-","13058","116619","0","117050"
"CLEFIA","128","128","05","C",="-O3","3132","2976","0","3192","4316","-","-","-","-","-","-","-","-","-","-","10266","94747","0","95142"
"CLEFIA","128","128","05","C",="-O2","3132","2648","0","2688","3484","-","-","-","-","-","-","-","-","-","-","10262","96586","0","96246"
"CLEFIA","128","128","05","C",="-O1","1912","1584","0","1636","2260","-","-","-","-","-","-","-","-","-","-","10906","108317","0","109078"
"CLEFIA","128","128","05","C",="-Os","1908","1536","0","1586","2222","-","-","-","-","-","-","-","-","-","-","10682","108110","0","108831"
"CLEFIA","128","128","06","C",="-O3","2052","10088","0","10304","11428","-","-","-","-","-","-","-","-","-","-","3733","15681","0","16086"
"CLEFIA","128","128","06","C",="-O2","1276","8984","0","9024","9820","-","-","-","-","-","-","-","-","-","-","4254","23411","0","24458"
"CLEFIA","128","128","06","C",="-O1","1120","8984","0","9036","9660","-","-","-","-","-","-","-","-","-","-","3924","24636","0","25659"
"CLEFIA","128","128","06","C",="-Os","1082","8902","0","8952","9588","-","-","-","-","-","-","-","-","-","-","4204","30166","0","27581"
"CLEFIA","128","128","07","C",="-O3","1820","5760","0","5976","7100","-","-","-","-","-","-","-","-","-","-","3569","14025","0","14374"
"CLEFIA","128","128","07","C",="-O2","1252","4864","0","4904","5700","-","-","-","-","-","-","-","-","-","-","4291","24761","0","26118"
"CLEFIA","128","128","07","C",="-O1","1088","4856","0","4908","5532","-","-","-","-","-","-","-","-","-","-","3804","23196","0","24219"
"CLEFIA","128","128","07","C",="-Os","1066","4790","0","4840","5476","-","-","-","-","-","-","-","-","-","-","4080","28694","0","25837"
"CLEFIA","128","128","08","C",="-O3","1676","5616","0","5832","6956","-","-","-","-","-","-","-","-","-","-","3569","14025","0","14374"
"CLEFIA","128","128","08","C",="-O2","1652","5264","0","5304","6100","-","-","-","-","-","-","-","-","-","-","3573","15889","0","16926"
"CLEFIA","128","128","08","C",="-O1","1416","5184","0","5236","5860","-","-","-","-","-","-","-","-","-","-","3364","17501","0","17498"
"CLEFIA","128","128","08","C",="-Os","1336","5060","0","5110","5746","-","-","-","-","-","-","-","-","-","-","3442","21018","0","18399"
"CLEFIA","128","128","09","C",="-O3","1272","7068","0","7292","11056","-","-","-","-","-","-","-","-","-","-","3646","12216","0","12536"
"CLEFIA","128","128","09","C",="-O2","1272","6740","0","6788","10224","-","-","-","-","-","-","-","-","-","-","3656","14023","0","13584"
"CLEFIA","128","128","09","C",="-O1","1044","6776","0","6828","10072","-","-","-","-","-","-","-","-","-","-","3110","14665","0","15753"
